id,name,display_name,description,level,default_permissions,created_at,is_active
1,admin,Quản trị viên,"Toàn quyền quản lý project, thành viên và cài đặt",100,"{""can_edit_project"": true, ""can_edit_products"": true, ""can_delete_project"": true, ""can_manage_members"": true, ""can_view_analytics"": true, ""can_manage_woocommerce"": true}",2025-09-29 02:43:23.708683,true
2,manager,Người quản lý,"Quản lý sản phẩm và thành viên, không thể xóa project",80,"{""can_edit_project"": false, ""can_edit_products"": true, ""can_delete_project"": false, ""can_manage_members"": true, ""can_view_analytics"": true, ""can_manage_woocommerce"": true}",2025-09-29 02:43:23.708683,true
3,product_editor,Biên tập viên sản phẩm,Chỉnh sửa sản phẩm và sync WooCommerce,60,"{""can_edit_project"": false, ""can_edit_products"": true, ""can_delete_project"": false, ""can_manage_members"": false, ""can_view_analytics"": true, ""can_manage_woocommerce"": true}",2025-09-29 02:43:23.708683,true
4,project_viewer,Người xem project,"Xem thông tin project và sản phẩm, không chỉnh sửa",40,"{""can_edit_project"": false, ""can_edit_products"": false, ""can_delete_project"": false, ""can_manage_members"": false, ""can_view_analytics"": true, ""can_manage_woocommerce"": false}",2025-09-29 02:43:23.708683,true
5,viewer,Người xem,Chỉ xem danh sách sản phẩm cơ bản,20,"{""can_edit_project"": false, ""can_edit_products"": false, ""can_delete_project"": false, ""can_manage_members"": false, ""can_view_analytics"": false, ""can_manage_woocommerce"": false}",2025-09-29 02:43:23.708683,true
